datetime, aapl , cash , commission , total ,returns, equity_curve 
7/10/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/11/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/12/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/15/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/16/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/17/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/18/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/19/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/22/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/23/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/24/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/25/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/26/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/29/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/30/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/31/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
8/1/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
8/2/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
8/5/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
8/6/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
8/7/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
8/8/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
8/9/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
8/12/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
8/13/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
8/14/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
8/15/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
8/16/2013," 3,316,777 "," 3,287,469 ", (188)," 6,604,246 ",0.4%, 6.60 
8/19/2013," 3,352,223 "," 3,287,469 ", (188)," 6,639,692 ",0.5%, 6.64 
8/20/2013," 3,308,270 "," 3,287,469 ", (188)," 6,595,739 ",-0.7%, 6.60 
8/21/2013," 3,316,777 "," 3,287,469 ", (188)," 6,604,246 ",0.1%, 6.60 
8/22/2013," 3,321,030 "," 3,287,469 ", (188)," 6,608,500 ",0.1%, 6.61 
8/23/2013," 3,307,797 "," 3,287,469 ", (188)," 6,595,267 ",-0.2%, 6.60 
8/26/2013," 3,321,030 "," 3,287,469 ", (188)," 6,608,500 ",0.2%, 6.61 
